session_id,date,city,state,address,latitude,longitude,court_name,session_type,court_type,time_spent_mins,weekday
347,10/26/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,180,Saturday
348,10/28/2024,orlando,florida,1400 gaston foster rd,28.52556489,-81.32574814,dover_shores,drill,outdoors,90,Monday
349,10/29/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,480,Tuesday
350,10/30/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,120,Wednesday
351,11/1/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,180,Friday
352,11/1/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,480,Friday
353,11/4/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,drill,outdoors,120,Monday
354,11/5/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,drill,outdoors,120,Tuesday
355,11/6/2024,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,180,Wednesday
356,11/7/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,240,Thursday
357,11/8/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,drill,outdoors,120,Friday
358,11/8/2024,orlando,florida,4141 john young pkwy,28.5873,-81.4145,clearone,recreation,indoors,120,Friday
359,11/8/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,120,Friday
360,11/9/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,120,Saturday
361,11/9/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,180,Saturday
362,11/10/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,60,Sunday
363,11/12/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,120,Tuesday
364,11/12/2024,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,180,Tuesday
365,11/16/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,90,Saturday
366,11/16/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,210,Saturday
367,11/17/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,360,Sunday
368,11/20/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,drill,outdoors,120,Wednesday
369,11/22/2024,orlando,florida,4141 john young pkwy,28.5873,-81.4145,clearone,recreation,indoors,150,Friday
370,11/22/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,90,Friday
371,11/24/2024,jupiter,florida,3377 church st,26.94658173,-80.14771252,jupiter_community_park,recreation,outdoors,150,Sunday
372,11/27/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,180,Wednesday
373,11/28/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,240,Thursday
374,11/29/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,150,Friday
375,12/1/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,120,Sunday
376,12/1/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,recreation,outdoors,300,Sunday
377,12/3/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,drill,outdoors,90,Tuesday
378,12/3/2024,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,150,Tuesday
379,12/4/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,drill,outdoors,60,Wednesday
380,12/5/2024,winter_garden,florida,421 s park ave,28.55995116,-81.59439271,veterans_memorial_park,recreation,outdoors,120,Thursday
