session_id,date,city,state,address,latitude,longitude,court_name,session_type,court_type,time_spent_mins,weekday
102,2/22/2024,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,150,Thursday
103,2/23/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Friday
104,2/23/2024,orlando,florida,10026 lake district ln,28.42222748,-81.23571041,east_park,drill,outdoors,60,Friday
105,2/24/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,120,Saturday
106,2/25/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,180,Sunday
107,2/25/2024,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,270,Sunday
108,2/26/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,180,Monday
109,2/27/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Tuesday
110,2/27/2024,orlando,florida,10026 lake district ln,28.42222748,-81.23571041,east_park,recreation,outdoors,90,Tuesday
111,2/28/2024,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,180,Wednesday
112,2/29/2024,orlando,florida,1400 gaston foster rd,28.52556489,-81.32574814,dover_shores,recreation,outdoors,180,Thursday
113,2/29/2024,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,150,Thursday
114,3/1/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Friday
115,3/1/2024,orlando,florida,10026 lake district ln,28.42222748,-81.23571041,east_park,drill,outdoors,60,Friday
116,3/2/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,Recreation,outdoors,180,Saturday
117,3/2/2024,orlando,florida,1400 gaston foster rd,28.52556489,-81.32574814,dover_shores,recreation,outdoors,210,Saturday
118,3/3/2024,winter_park,florida,2525 cady way trail,28.5962656,-81.31660878,cady_way_park,Recreation,outdoors,180,Sunday
119,3/4/2024,orlando,florida,1400 gaston foster rd,28.52556489,-81.32574814,dover_shores,recreation,outdoors,90,Monday
120,3/5/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Tuesday
